  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          0,         0
  1,             0,               0,              1,         0,           0,          1,          0,            0,           0,        0,          0,         0
  2,             1,               1,              1,         1,           0,          1,          1,            1,           0,        1,          1,         1
  3,             2,               1,              1,         3,           0,          0,          3,            1,           1,        3,          3,         1
  4,             4,               2,              1,         4,           0,          2,          5,            2,           2,        6,          6,         3
  5,             5,               2,              2,         8,           0,          2,          7,            2,           3,       11,         10,         5
  6,            10,               6,              3,        10,           0,          4,         15,            6,           3,       15,         12,         6
  7,            13,               8,              5,        13,           0,          5,         20,            8,           5,       19,         14,         7
  8,            20,              15,              8,        16,           0,          6,         28,           15,          10,       27,         19,        12
  9,            26,              20,              9,        20,           0,          7,         36,           20,          12,       33,         20,        11
 10,            34,              27,             12,        23,           0,         10,         44,           27,          17,       37,         23,        13
 11,            40,              32,             15,        27,           0,          8,         52,           32,          17,       46,         28,        17
 12,            44,              35,             16,        31,           0,         10,         60,           35,          19,       51,         33,        19
 13,            55,              45,             20,        32,           0,         10,         77,           45,          23,       56,         35,        20
 14,            59,              48,             21,        37,           0,         10,         88,           48,          24,       61,         38,        21
 15,            67,              55,             26,        41,           0,         14,         99,           55,          30,       68,         43,        25
 16,            70,              57,             25,        45,           0,         13,        110,           57,          32,       80,         53,        29
 17,            83,              69,             30,        51,           0,         16,        130,           69,          36,       90,         55,        36
 18,            92,              77,             35,        57,           0,         17,        143,           77,          42,       99,         61,        37
 19,            95,              79,             36,        59,           0,         16,        156,           79,          41,      106,         65,        38
 20,           114,              98,             45,        64,           0,         19,        190,           98,          55,      116,         72,        44
 21,           133,             116,             51,        69,           0,         20,        210,          116,          62,      124,         74,        45
 22,           154,             136,             56,        73,           0,         26,        231,          136,          71,      127,         76,        46
 23,           168,             149,             64,        81,           0,         24,        252,          149,          77,      137,         81,        49
 24,           182,             162,             70,        86,           0,         24,        273,          162,          84,      145,         88,        54
 25,           198,             177,             76,        81,           0,         25,        294,          177,          91,      154,         93,        56
 26,           211,             189,             80,        87,           0,         26,        315,          189,          97,      164,        101,        56
 27,           235,             212,             93,        95,           0,         28,        348,          212,         108,      170,        102,        56
 28,           241,             217,             94,       102,           0,         28,        372,          217,         113,      179,        107,        65
 29,           248,             223,             94,       104,           0,         29,        396,          223,         124,      186,        109,        66
 30,           255,             229,             97,       109,           0,         31,        420,          229,         125,      194,        115,        69
 31,           268,             241,            101,       116,           0,         34,        444,          241,         129,      202,        121,        76
 32,           280,             252,            100,       121,           0,         31,        468,          252,         139,      217,        130,        77
 33,           293,             264,            111,       128,           0,         36,        492,          264,         140,      226,        136,        80
 34,           321,             291,            123,       132,           0,         36,        546,          291,         157,      242,        143,        87
 35,           329,             298,            128,       143,           0,         39,        574,          298,         164,      253,        148,        94
 36,           357,             325,            139,       147,           0,         43,        602,          325,         175,      260,        153,        92
 37,           386,             353,            151,       146,           0,         36,        638,          353,         193,      268,        157,        88
 38,           415,             381,            168,       149,           0,         45,        667,          381,         197,      275,        159,       103
 39,           419,             384,            161,       161,           0,         43,        696,          384,         205,      288,        168,       102
 40,           458,             423,            177,       167,           0,         45,        780,          423,         226,      301,        173,       103
 41,           486,             450,            193,       172,           0,         45,        820,          450,         239,      310,        178,       108
 42,           508,             471,            199,       173,           0,         47,        860,          471,         252,      320,        183,       113
 43,           538,             500,            214,       182,           0,         51,        900,          500,         267,      335,        194,       120
 44,           544,             505,            208,       188,           0,         49,        940,          505,         276,      347,        203,       121
 45,           558,             518,            221,       195,           0,         52,        980,          518,         283,      357,        212,       132
 46,           580,             539,            226,       205,           0,         51,       1020,          539,         269,      365,        213,       118
 47,           610,             568,            219,       208,           0,         51,       1060,          568,         280,      375,        218,       120
 48,           635,             592,            227,       214,           0,         52,       1100,          592,         293,      389,        228,       134
 49,           677,             633,            273,       205,           0,         57,       1155,          633,         315,      400,        233,       128
 50,           716,             671,            257,       215,           0,         56,       1197,          671,         325,      409,        241,       132
 51,           726,             680,            263,       226,           0,         56,       1239,          680,         346,      417,        244,       135
 52,           729,             682,            262,       229,           0,         56,       1281,          682,         340,      432,        254,       141
 53,           748,             700,            269,       236,           0,         57,       1323,          700,         348,      443,        264,       149
 54,           800,             751,            287,       244,           0,         59,       1430,          751,         379,      454,        267,       149
 55,           848,             798,            308,       254,           0,         61,       1482,          798,         397,      462,        272,       152
 56,           884,             833,            326,       259,           0,         63,       1534,          833,         438,      472,        277,       166
 57,           908,             856,            357,       261,           0,         69,       1586,          856,         458,      479,        276,       170
 58,           949,             896,            370,       269,           0,         65,       1638,          896,         449,      497,        290,       174
 59,          1007,             953,            376,       275,           0,         66,       1711,          953,         516,      514,        295,       183
 60,          1018,             963,            403,       281,           0,         74,       1769,          963,         522,      521,        305,       188
 61,          1067,            1011,            428,       287,           0,         82,       1827,         1011,         543,      534,        309,       190
 62,          1098,            1041,            410,       295,           0,         78,       1885,         1041,         555,      543,        313,       191
 63,          1105,            1047,            435,       303,           0,         81,       1943,         1047,         570,      553,        319,       198
 64,          1129,            1070,            447,       308,           0,         82,       2001,         1070,         578,      559,        322,       180
 65,          1139,            1079,            450,       314,           0,         84,       2059,         1079,         591,      578,        331,       216
 66,          1190,            1129,            476,       319,           0,         77,       2117,         1129,         668,      588,        335,       221
 67,          1252,            1190,            502,       325,           0,         90,       2201,         1190,         638,      594,        342,       201
 68,          1318,            1255,            503,       332,           0,         90,       2277,         1255,         665,      617,        357,       221
 69,          1382,            1318,            568,       342,           0,         99,       2343,         1318,         653,      628,        360,       212
 70,          1448,            1383,            540,       350,           0,         83,       2409,         1383,         709,      638,        363,       218
 71,          1502,            1436,            600,       351,           0,         91,       2475,         1436,         739,      653,        370,       209
 72,          1503,            1436,            552,       359,           0,        128,       2541,         1436,         734,      669,        378,       233
 73,          1571,            1503,            588,       363,           0,         86,       2618,         1503,         714,      675,        381,       217
 74,          1616,            1547,            589,       369,           0,         94,       2686,         1547,         786,      682,        389,       234
 75,          1682,            1612,            647,       374,           0,         91,       2754,         1612,         780,      702,        402,       235
 76,          1706,            1635,            680,       379,           0,        100,       2822,         1635,         847,      707,        407,       248
 77,          1710,            1638,            619,       391,           0,         92,       2890,         1638,         785,      725,        414,       247
 78,          1746,            1673,            689,       398,           0,        102,       2958,         1673,         931,      732,        419,       279
 79,          1814,            1740,            969,       398,           0,        109,       3026,         1740,         954,      753,        426,       384
 80,          1819,            1744,           1201,       403,           0,        246,       3094,         1744,        1547,      760,        434,       410
 81,          1859,            1783,           1240,       416,           0,        146,       3162,         1783,        1118,      777,        439,       267
 82,          1882,            1805,            741,       427,           0,        113,       3230,         1805,         967,      791,        451,       282
 83,          1933,            1855,            860,       431,           0,        137,       3298,         1855,        1197,      798,        449,       284
 84,          1938,            1859,            758,       436,           0,        114,       3366,         1859,         986,      809,        461,       283
 85,          1983,            1903,            803,       438,           0,        138,       3434,         1903,        1111,      827,        473,       324
 86,          2010,            1929,           1089,       448,           0,        119,       3502,         1929,        1157,      835,        471,       369
 87,          2055,            1973,           1169,       455,           0,        360,       3570,         1973,        1049,      858,        485,       296
 88,          2094,            2011,            847,       460,           0,        123,       3638,         2011,        1268,      862,        493,       313
 89,          2130,            2046,           1324,       470,           0,        197,       3706,         2046,        1093,      877,        496,       305
 90,          2185,            2100,            918,       478,           0,        162,       3774,         2100,        1160,      892,        508,       311
 91,          2198,            2112,            867,       489,           0,        116,       3842,         2112,        1114,      906,        512,       313
 92,          2212,            2125,            897,       494,           0,        128,       3910,         2125,        1162,      919,        521,       319
 93,          2255,            2167,            934,       494,           0,        132,       3978,         2167,        1450,      925,        523,       494
 94,          2295,            2206,           1081,       500,           0,        133,       4046,         2206,        1213,      942,        530,       331
 95,          2303,            2213,            922,       515,           0,        133,       4114,         2213,        1192,      958,        539,       330
 96,          2379,            2288,            922,       521,           0,        132,       4370,         2288,        1158,      969,        546,       334
 97,          2421,            2329,            956,       518,           0,        132,       4446,         2329,        1208,      985,        557,       347
 98,          2517,            2424,           1000,       520,           0,        135,       4752,         2424,        1193,      997,        564,       320
 99,          2602,            2508,            915,       529,           0,        122,       4848,         2508,        1215,     1011,        570,       311
100,          2664,            2569,            936,       541,           0,        123,       4944,         2569,        1389,     1019,        577,       340
